,page,date,title,tokenized,action,pair
16,1,2022-03-18,GBPUSD – Drifts lower after Fed and BoE,"['gbpusd', '–', 'drift', 'lower', 'feed', 'boe']",bear,gbp/usd
17,1,2022-03-18,Putin gives cenbank rights to determine size of FX operations with non-residents,"['putin', 'give', 'cenbank', 'right', 'determine', 'size', 'fx', 'operations', 'non-residents']",na,[]
18,1,2022-03-18,MUFG trade of the week Sell EUR/USD,"['mufg', 'trade', 'week', 'sell', 'eur/usd']",na,eur/usd
19,1,2022-03-18,EURUSD bounces off 200 hour MA ....again,"['eurusd', 'bounce', '200', 'hour', '...', '.again']",na,eur/usd
20,1,2022-03-18,NZDUSD retests the 200 day MA at 0.69099,"['nzdusd', 'retests', '200', 'day', '0.69099']",na,nzd/usd
21,1,2022-03-18,AUDUSD trades back toward highs for day/week,"['audusd', 'trade', 'back', 'toward', 'highs', 'day/week']",na,aud/usd
22,1,2022-03-18,USDCHF sellers had a shot today. It did not go well.,"['usdchf', 'sellers', 'shoot', 'today', '.', 'go', 'well', '.']",bull,usd/chf
23,1,2022-03-18,USDCAD tried to crack the 200 day MA but tries stalled,"['usdcad', 'try', 'crack', '200', 'day', 'try', 'stall']",na,usd/cad
24,1,2022-03-18,GBPUSD falls to a new low as dollar finds a bid,"['gbpusd', 'fall', 'new', 'low', 'dollar', 'find', 'bid']",bear,gbp/usd
25,1,2022-03-18,USDJPY moves to a new high as Waller speaks,"['usdjpy', 'move', 'new', 'high', 'waller', 'speak']",bull,usd/jpy
26,1,2022-03-18,Russia Default Risk Tumbles as Bond Payment Sent to Citi,"['russia', 'default', 'risk', 'tumble', 'bond', 'payment', 'send', 'citi']",bear,[]
27,1,2022-03-18,The EURUSD rotates back down to the 100 hour MA,"['eurusd', 'rotate', 'back', '100', 'hour']",na,eur/usd
28,1,2022-03-18,USD/JPY pops back aboe 119.00 as it threatens the weekly high,"['usd/jpy', 'pop', 'back', 'aboe', '119.00', 'threaten', 'weekly', 'high']",bull,usd/jpy
29,1,2022-03-17,Dollar Up but Near One-Week Low as Fed Decision Impact Continues,"['dollar', 'near', 'one-week', 'low', 'feed', 'decision', 'impact', 'continue']",bear,[]
30,1,2022-03-18,Rouble stabilises near 104 vs dollar ahead of cenbank rate meeting,"['rouble', 'stabilise', 'near', '104', 'vs', 'dollar', 'ahead', 'cenbank', 'rate', 'meet']",na,[]
31,1,2022-03-17,Polish central bank programme to allow Ukrainians to convert cash,"['polish', 'central', 'bank', 'programme', 'allow', 'ukrainians', 'convert', 'cash']",na,[]
32,1,2022-03-17,U.S. dollar hits lowest in week as investors gauge Fed policy euro rises,"['u.s.', 'dollar', 'hit', 'lowest', 'week', 'investors', 'gauge', 'feed', 'policy', 'euro', 'rise']",bull,eur/usd
33,1,2022-03-17,Rouble up in Moscow falls offshore in volatile thin trading,"['rouble', 'moscow', 'fall', 'offshore', 'volatile', 'thin', 'trade']",bear,[]
34,1,2022-03-17,EURGBP trades to a new 28 day high but stalls and moves back lower,"['eurgbp', 'trade', 'new', '28', 'day', 'high', 'stall', 'move', 'back', 'lower']",na,eur/gbp
35,2,2022-03-17,British pound drops after BoE hikes rates by 0.25,"['british', 'pound', 'drop', 'boe', 'hike', 'rat', '0.25']",bear,['gbp']
36,2,2022-03-17,Rate hike intervention can't reverse weak yen says former Japan currency diplomat,"['rate', 'hike', 'intervention', 'ca', ""n't"", 'reverse', 'weak', 'yen', 'say', 'former', 'japan', 'currency', 'diplomat']",bear,['jpy']
37,2,2022-03-16,Dollar Down Yen Falls Behind as Fed Hikes Interest Rates,"['dollar', 'yen', 'fall', 'behind', 'feed', 'hike', 'interest', 'rat']",bear,['jpy']
38,2,2022-03-16,Russian rouble rises in low volumes market eyes coupon payments,"['russian', 'rouble', 'rise', 'low', 'volumes', 'market', 'eye', 'coupon', 'payments']",na,[]
39,2,2022-03-16,Dollar falls as hawkish Fed delivers without an extra kick,"['dollar', 'fall', 'hawkish', 'feed', 'deliver', 'without', 'extra', 'kick']",bear,[]
40,2,2022-03-15,Dollar Down Hits Five-Year High Against Yen as Fed Decision Looms,"['dollar', 'hit', 'five-year', 'high', 'yen', 'feed', 'decision', 'loom']",bull,['jpy']
41,2,2022-03-15,Brazil unveils plan to cut taxes on forex transactions by 2029,"['brazil', 'unveil', 'plan', 'cut', 'tax', 'forex', 'transactions', '2029']",na,[]
42,2,2022-03-15,Dollar firms as oil prices moderate taking momentum from euro,"['dollar', 'firm', 'oil', 'price', 'moderate', 'take', 'momentum', 'euro']",na,['eur']
43,2,2022-03-15,Yuan Surges After Report on Saudis Accepting Currency for Oil,"['yuan', 'surge', 'report', 'saudis', 'accept', 'currency', 'oil']",na,[]
44,2,2022-03-15,Column-That rare crisis when the yen falls McGeever,"['column-that', 'rare', 'crisis', 'yen', 'fall', 'mcgeever']",bear,['jpy']
45,2,2022-03-15,Japan calls for 'stable' FX moves as weak yen weighs on import-reliant economy,"['japan', 'call', ""'stable"", ""'"", 'fx', 'move', 'weak', 'yen', 'weigh', 'import-reliant', 'economy']",bear,['jpy']
46,2,2022-03-14,Dollar Down Yen and Aussie Continue Drop as Fed Policy Decision Looms,"['dollar', 'yen', 'aussie', 'continue', 'drop', 'feed', 'policy', 'decision', 'loom']",bear,aud/jpy
47,2,2022-03-14,Dollar slips as traders eye Fed Russia-Ukraine talks,"['dollar', 'slip', 'traders', 'eye', 'feed', 'russia-ukraine', 'talk']",bear,[]
48,2,2022-03-14,Russia says it may have to service FX debt in roubles due to sanctions,"['russia', 'say', 'may', 'service', 'fx', 'debt', 'roubles', 'due', 'sanction']",na,[]
49,2,2022-03-14,Ukraine finance minister says hryvnia currency will remain stable,"['ukraine', 'finance', 'minister', 'say', 'hryvnia', 'currency', 'remain', 'stable']",na,[]
50,2,2022-03-14,Russia to use yuan from its forex reserves finance minister says,"['russia', 'use', 'yuan', 'forex', 'reserve', 'finance', 'minister', 'say']",na,[]
51,2,2022-03-14,Dollar Edges Lower But Retains Strength Against Yen Ahead of Fed Meeting,"['dollar', 'edge', 'lower', 'retain', 'strength', 'yen', 'ahead', 'feed', 'meet']",bear,['jpy']
